ci,7,Helvetica,r,1601,29,1615,33,26,1,0,1; 
Which,47,HelveticaCentury,bi,284,45,442,90,212,2,1,2; 
choice,47,HelveticaCentury,bi,461,46,624,90,213,3,1,2; 
among,47,HelveticaCentury,bi,642,56,824,101,209,4,1,2; 
below,47,HelveticaCentury,bi,984,46,1144,90,212,8,1,2; 
is,47,HelveticaCentury,bi,1159,45,1198,90,212,9,1,2; 
false,47,HelveticaCentury,bi,1208,44,1369,102,208,10,1,2; 
Replisome,37,HelveticaCentury,b,374,152,623,200,189,12,1,3; 
one,37,HelveticaCentury,b,654,163,736,190,212,13,1,3; 
at,37,HelveticaCentury,b,753,156,794,190,212,14,1,3; 
each,37,HelveticaCentury,b,811,152,912,190,212,15,1,3; 
replication,37,HelveticaCentury,b,933,152,1165,200,210,16,1,3; 
fork,37,HelveticaCentury,b,1183,152,1271,190,213,17,1,3; 
in,37,HelveticaCentury,b,1288,153,1323,190,201,18,1,3; 
DNA,37,HelveticaCentury,b,1344,155,1441,190,210,19,1,3; 
Water,37,HelveticaCentury,b,372,253,523,288,205,20,1,4; 
most,42,HelveticaCentury,b,544,255,652,288,211,21,1,4; 
abundant,41,HelveticaCentury,b,670,251,883,288,212,22,1,4; 
molecules,41,HelveticaCentury,b,902,251,1125,288,212,23,1,4; 
in,41,HelveticaCentury,b,1144,252,1179,288,209,24,1,4; 
the,41,HelveticaCentury,b,1196,251,1268,288,212,25,1,4; 
bacterial,41,HelveticaCentury,b,1288,251,1477,288,213,26,1,4; 
cell,41,HelveticaCentury,b,1496,251,1566,288,213,27,1,4; 
FtsZ,41,HelveticaCentury,b,374,353,475,389,173,28,1,5; 
determines,41,HelveticaCentury,b,507,352,760,389,207,29,1,5; 
the,41,HelveticaCentury,b,776,352,848,388,213,30,1,5; 
diameter,41,HelveticaCentury,b,866,352,1068,389,214,31,1,5; 
of,41,HelveticaCentury,b,1085,352,1129,388,213,32,1,5; 
the,41,HelveticaCentury,b,1142,352,1214,389,214,33,1,5; 
cel,41,HelveticaCentury,b,1232,352,1289,389,198,34,1,5; 
Polysome,41,HelveticaCentury,b,374,449,605,497,182,35,1,6; 
can,41,HelveticaCentury,b,637,460,710,487,214,36,1,6; 
result,41,HelveticaCentury,b,730,449,854,487,213,37,1,6; 
in,41,HelveticaCentury,b,872,450,906,487,214,38,1,6; 
lot,41,HelveticaCentury,b,967,449,1021,487,214,40,1,6; 
of,41,HelveticaCentury,b,1038,449,1082,487,214,41,1,6; 
protein,41,HelveticaCentury,b,1099,450,1256,496,214,42,1,6; 
an,41,HelveticaCentury,b,373,528,422,554,214,44,1,7; 
expressed,41,HelveticaCentury,b,441,516,662,564,212,45,1,7; 
gene,41,HelveticaCentury,b,681,528,787,564,213,46,1,7; 
PHB,41,HelveticaCentury,b,374,618,477,653,201,47,1,8; 
lipid,41,HelveticaCentury,b,498,616,587,663,212,48,1,8; 
storage,41,HelveticaCentury,b,606,619,768,663,212,49,1,8; 
inclusion,42,HelveticaCentury,b,787,616,981,653,198,50,1,8; 
Carboxysomes,37,HelveticaCentury,b,372,713,717,761,203,51,1,9; 
most,42,HelveticaCentury,b,750,718,858,751,213,52,1,9; 
likely,41,HelveticaCentury,b,876,713,986,761,213,53,1,9; 
to,41,HelveticaCentury,b,1000,718,1045,751,214,54,1,9; 
be,41,HelveticaCentury,b,1064,713,1114,751,214,55,1,9; 
found,41,HelveticaCentury,b,1131,713,1259,751,214,56,1,9; 
among,41,HelveticaCentury,b,1278,724,1431,761,214,57,1,9; 
autotrophic,42,HelveticaCentury,b,373,781,633,828,197,58,1,10; 
bacteria,42,HelveticaCentury,b,652,781,842,819,200,59,1,10; 
Gramnegative,37,HelveticaCentury,b,372,880,710,927,199,60,1,11; 
cell,37,HelveticaCentury,b,727,880,800,917,211,61,1,11; 
wall,37,HelveticaCentury,b,818,880,924,917,202,62,1,11; 
lack,37,HelveticaCentury,b,958,880,1040,917,213,63,1,11; 
teichoic,37,HelveticaCentury,b,1056,880,1230,917,156,64,1,11; 
acids,37,HelveticaCentury,b,1247,880,1357,917,212,65,1,11; 
one,37,HelveticaCentury,b,409,989,493,1016,211,66,1,12; 
oft,37,HelveticaCentury,b,510,977,583,1015,206,67,1,12; 
boe,42,HelveticaCentury,b,685,978,790,1017,32,68,1,12; 
arefalse,41,HelveticaCentury,b,808,977,1005,1021,69,69,1,12; 
IL,26,HelveticaCentury,b,789,1056,827,1079,53,72,1,13; 
ij,31,HelveticaCentury,b,1278,1022,1289,1059,45,75,1,13; 
