id,point_no,type,name,time,desc,belongs_to_index_no,filename,resource_id,duration,text,index_method,text_corrected,text_manual
366675,1,i," Index 1",1,NULL,1,i_0002.jpg,5056,0,"wtechsmith relay recorder selfhosted gb free pm",imageBased,NULL,"wtechsmith relay recorder selfhosted gb free pm"
366676,2,t," Index 2",1,NULL,1,i_0003.jpg,5056,0,"techsmith relay recorder selfhosted gb free",imageBased,NULL,"techsmith relay recorder selfhosted gb free"
366677,3,t," Index 3",1,NULL,1,i_0004.jpg,5056,58,channel,imageBased,NULL,channel
366678,4,t," Index 4",59,NULL,1,i_0033.jpg,5056,66,"ojjj channel",imageBased,NULL,"ojjj channel"
366679,5,t," Index 5",125,NULL,1,i_0066.jpg,5056,4,"upcoming schedule next weeks chapter unjt material channel 1r ri 1j illi to tues ch part ch bacterial growth thur ch bacterial growth development tues ch ch control of microbial growth thur ch ch fri blackboard quiz3 spring break date",imageBased,NULL,"upcoming schedule next weeks chapter unjt material channel 1r ri 1j illi to tues ch part ch bacterial growth thur ch bacterial growth development tues ch ch control of microbial growth thur ch ch fri blackboard quiz3 spring break date"
366680,6,t," Index 6",129,NULL,1,i_0068.jpg,5056,64,"date chapter unjt material chanr 1r 1j illi tues ch part ch bacterial growth thur ch bacterial growth development tues ch ch control of microbial growth thur ch ch fri blackboard quiz3 spring break 11a upcoming schedule next weeks",imageBased,NULL,"date chapter unjt material chanr 1r 1j illi tues ch part ch bacterial growth thur ch bacterial growth development tues ch ch control of microbial growth thur ch ch fri blackboard quiz3 spring break 11a upcoming schedule next weeks"
366681,7,i," Index 7",193,NULL,2,i_0100.jpg,5056,216,"energy acquisition in bacteria and archaea light ii phototrophy light photoautotrophy photolysis of h20 photosystems absorption provides electrons photolysis of h2s hs or 6c02 12hs 6h20 photosystem ii photoheterotrophy light absorption without fixation photolysis of h2s h5 or cyclic photophosphorylation lightdriven pump or na organic photosystem oi ii bacterlorhodopsin proteorhodopsin light absorption drives co2 fixation 6c02 12h20 chuo 6h20 and ii",imageBased,NULL,"energy acquisition in bacteria and archaea light ii phototrophy light photoautotrophy photolysis of h20 photosystems absorption provides electrons photolysis of h2s hs or 6c02 12hs 6h20 photosystem ii photoheterotrophy light absorption without fixation photolysis of h2s h5 or cyclic photophosphorylation lightdriven pump or na organic photosystem oi ii bacterlorhodopsin proteorhodopsin light absorption drives co2 fixation 6c02 12h20 chuo 6h20 and ii"
366682,8,i," Index 8",409,NULL,3,i_0208.jpg,5056,6,"phototrophyutil izes light energy to excite electron energy captured is used to power metabolism chlorophyllbased and nonchlorophyllbased types chanr",imageBased,NULL,"phototrophyutil izes light energy to excite electron energy captured is used to power metabolism chlorophyllbased and nonchlorophyllbased types chanr"
366683,9,t," Index 9",415,NULL,3,i_0211.jpg,5056,2,"izes light energy to excite electrons energy captured is used to power metabolism chlorophyllbased and nonchlorophyllbased types features common to all phototrophy photoreceptor molecules that absorb light membrane containing photopigments and accessory molecules light reception linked to energy capture mechanism phototrophyutil chanr",imageBased,NULL,"izes light energy to excite electrons energy captured is used to power metabolism chlorophyllbased and nonchlorophyllbased types features common to all phototrophy photoreceptor molecules that absorb light membrane containing photopigments and accessory molecules light reception linked to energy capture mechanism phototrophyutil chanr"
366684,10,t," Index 10",417,NULL,3,i_0212.jpg,5056,74,"light energy captured is used to power metabolism chlorophyllbased and nonchlorophyllbased types features common to all phototrophy photoreceptor molecules that absorb light membrane containing photopigments and accessory molecules light reception linked to energy capture mechanism phototrophyutil izes energy to excite electron chanr",imageBased,NULL,"light energy captured is used to power metabolism chlorophyllbased and nonchlorophyllbased types features common to all phototrophy photoreceptor molecules that absorb light membrane containing photopigments and accessory molecules light reception linked to energy capture mechanism phototrophyutil izes energy to excite electron chanr"
