id,point_no,type,name,time,desc,belongs_to_index_no,filename,resource_id,duration,text,index_method,text_corrected,text_manual
294587,1,i," Index 1",1,NULL,1,i_0002.jpg,4588,0,"writeonwebchrome xv top hat secure geol join code students can go to tophatcom or use our mobile apps and enter this join code to participate start presentation take attendance enable full screen mode always show this screen before presenting always show control bar at the bottom techsmith relay qo cancel presentation",imageBased,NULL,"writeonwebchrome xv top hat secure geol join code students can go to tophatcom or use our mobile apps and enter this join code to participate start presentation take attendance enable full screen mode always show this screen before presenting always show control bar at the bottom techsmith relay qo cancel presentation"
294588,2,t," Index 2",1,NULL,1,i_0003.jpg,4588,0,"android apps on write on web chrome top hat secure httpsapptcphatcorq tectsnvth tflv asa oj fltfe students can go to tophatcom or use our mobile apps and enter this join code to participate take attendance enable full screen mode always show this screen before presenting always show control bar at the bottom start presentation cancel presentation ii il 1oo1am",imageBased,NULL,"android apps on write on web chrome top hat secure httpsapptcphatcorq tectsnvth tflv asa oj fltfe students can go to tophatcom or use our mobile apps and enter this join code to participate take attendance enable full screen mode always show this screen before presenting always show control bar at the bottom start presentation cancel presentation ii il 1oo1am"
294589,3,t," Index 3",1,NULL,1,i_0004.jpg,4588,20,"android apps on google write on web chrome top hat secure join code students can go to tophatcom or use our mobile apps and enter this join code to participate start presentation take attendance cancel presentation am iii enable full screen mode always show this screen before presenting always show control bar at the bottom",imageBased,NULL,"android apps on google write on web chrome top hat secure join code students can go to tophatcom or use our mobile apps and enter this join code to participate start presentation take attendance cancel presentation am iii enable full screen mode always show this screen before presenting always show control bar at the bottom"
294590,4,t," Index 4",21,NULL,1,i_0014.jpg,4588,2,"endesc nts press esc key to exit chapter concept checks arid quizzes eye on the earth give it some thought questions and online homework on blackboard zoom ii the presentation",imageBased,NULL,"endesc nts press esc key to exit chapter concept checks arid quizzes eye on the earth give it some thought questions and online homework on blackboard zoom ii the presentation"
294591,5,t," Index 5",23,NULL,1,i_0015.jpg,4588,2,"ann nts chapter concept checks and quizzes 11eye on the earth give it some thought questions and online homework on blackboard zoom",imageBased,NULL,"ann nts chapter concept checks and quizzes 11eye on the earth give it some thought questions and online homework on blackboard zoom"
294592,6,t," Index 6",25,NULL,1,i_0016.jpg,4588,2,"endiesc1i announcements chapter concept checks and on the earth give it some thought questions and online homework on blackboard",imageBased,NULL,"endiesc1i announcements chapter concept checks and on the earth give it some thought questions and online homework on blackboard"
294593,7,t," Index 7",27,NULL,1,i_0017.jpg,4588,114,"announcements chapter concept checks on the earth give it some thought questions and online homework on blackboard",imageBased,NULL,"announcements chapter concept checks on the earth give it some thought questions and online homework on blackboard"
294594,8,t," Index 8",141,NULL,1,i_0074.jpg,4588,2,"click on two cities that are moving apart plate motion measured in centimeters per year o4f ii pause correct ii responses eurasian plate beijing north american plate denver boston ft honolulu london african plate sta rt south american answering",imageBased,NULL,"click on two cities that are moving apart plate motion measured in centimeters per year o4f ii pause correct ii responses eurasian plate beijing north american plate denver boston ft honolulu london african plate sta rt south american answering"
294595,9,t," Index 9",143,NULL,1,i_0075.jpg,4588,2,"click on two cities that are moving apart plate motion measured in centimeters per year ii pause correct ii responses eurasian plate beijing north american plate denver boston ft honolulu london african plate south american plate antarctic plate",imageBased,NULL,"click on two cities that are moving apart plate motion measured in centimeters per year ii pause correct ii responses eurasian plate beijing north american plate denver boston ft honolulu london african plate south american plate antarctic plate"
294596,10,t," Index 10",145,NULL,1,i_0076.jpg,4588,28,"click on two cities that are moving apart plate motion measured in centimeters per year ii pause eurasian plate beijing north americali plate denver boston honolulu london plate australianindian plate ii african plate south american plate antarctic plate ii correct li responses",imageBased,NULL,"click on two cities that are moving apart plate motion measured in centimeters per year ii pause eurasian plate beijing north americali plate denver boston honolulu london plate australianindian plate ii african plate south american plate antarctic plate ii correct li responses"
