Word,Fontsize,FontFamily,FontFaceStyle,Left,Top,Right,Bottom,RecognitionConfidence,Id,RegionId,LineId,imageFile
Eli,37,HelveticaCentury,r,15,7,51,53,50,0,0,0,i_0002.jpg 
Recordings,10,Helvetica,b,5,60,63,72,202,1,0,1,i_0002.jpg 
Firefox,10,Helvetica,r,177,60,211,69,85,3,0,1,i_0002.jpg 
Shortcut,10,Helvetica,r,16,75,60,84,183,4,0,2,i_0002.jpg 
Microsoft,10,Helvetica,b,13,164,63,173,180,7,0,4,i_0002.jpg 
PowerPoi1,10,Helvetica,b,9,179,67,188,36,8,0,5,i_0002.jpg 
1007AM,10,Helvetica,b,939,735,988,744,27,15,6,12,i_0002.jpg 
iiI,15,Helvetica,r,861,743,872,753,31,17,7,13,i_0002.jpg 
Firefox,10,Helvetica,r,177,60,211,69,134,4,2,3,i_0003.jpg 
Recordings,10,Helvetica,r,5,60,63,72,201,5,3,4,i_0003.jpg 
Shortcut,10,Helvetica,r,16,75,60,84,182,8,3,5,i_0003.jpg 
Microsoft,10,Helvetica,r,13,164,63,173,186,11,3,7,i_0003.jpg 
Acrobat,10,Helvetica,r,94,164,136,173,184,12,3,7,i_0003.jpg 
PowerPoi,10,Helvetica,r,9,179,67,188,46,13,3,8,i_0003.jpg 
Reader,10,Helvetica,r,89,179,124,188,161,14,3,8,i_0003.jpg 
wri,4,Helvetica,r,284,352,301,355,23,16,4,9,i_0003.jpg 
ri,24,HelveticaCentury,i,384,372,423,393,54,19,4,10,i_0003.jpg 
Firefox,10,Helvetica,r,177,60,211,69,141,1,1,1,i_0004.jpg 
Recordings,10,Helvetica,r,5,60,63,72,202,2,2,2,i_0004.jpg 
Shortcut,10,Helvetica,r,16,75,60,84,183,5,2,3,i_0004.jpg 
Microsoft,10,Helvetica,r,13,164,63,173,188,6,2,4,i_0004.jpg 
PowerPoi,10,Helvetica,r,9,179,67,188,25,7,2,5,i_0004.jpg 
Reader,10,Helvetica,r,89,179,124,188,198,8,2,5,i_0004.jpg 
liz,35,HelveticaCentury,r,123,731,195,765,59,12,4,9,i_0004.jpg 
AM,10,Helvetica,r,969,735,988,744,205,15,6,11,i_0004.jpg 
fl,15,Helvetica,r,1000,729,1021,743,38,16,6,11,i_0004.jpg 
iiI,11,Helvetica,b,858,743,872,753,31,17,6,12,i_0004.jpg 
Ir,15,Helvetica,r,882,741,896,755,27,18,6,12,i_0004.jpg 
iil,10,Helvetica,r,858,743,872,753,19,5,2,3,i_0006.jpg 
Ir,21,HelveticaCentury,r,882,741,896,755,18,6,2,3,i_0006.jpg 
J0,10,Helvetica,r,1006,756,1022,766,40,10,3,5,i_0006.jpg 
New,10,Times,b,20,9,43,18,210,0,0,0,i_0007.jpg 
Tab,11,Helvetica,r,47,9,65,18,206,1,0,0,i_0007.jpg 
QtI1,20,HelveticaCentury,r,103,35,128,54,30,3,1,1,i_0007.jpg 
apptophatcome969008,11,Helvetica,r,123,100,284,113,29,9,3,3,i_0007.jpg 
Top,11,Helvetica,r,299,100,323,113,210,11,3,3,i_0007.jpg 
Hat,11,Helvetica,r,329,100,349,110,210,12,3,3,i_0007.jpg 
apptophatcom,11,Helvetica,r,123,125,220,138,77,14,3,4,i_0007.jpg 
Top,11,Helvetica,r,235,125,259,138,210,15,3,4,i_0007.jpg 
Hat,11,Helvetica,r,265,125,285,135,211,16,3,4,i_0007.jpg 
tophat,11,Helvetica,r,123,150,165,163,194,18,3,5,i_0007.jpg 
Google,11,Helvetica,r,181,150,225,163,94,20,3,5,i_0007.jpg 
Search,11,Helvetica,r,230,150,269,160,210,21,3,5,i_0007.jpg 
translate,11,Helvetica,r,123,176,179,185,206,23,3,6,i_0007.jpg 
target,11,Helvetica,r,123,201,161,213,210,25,3,7,i_0007.jpg 
Search,14,Helvetica,r,185,396,233,408,210,26,3,8,i_0007.jpg 
Google,14,Helvetica,r,240,396,289,411,126,27,3,8,i_0007.jpg 
