Word,Fontsize,FontFamily,FontFaceStyle,Left,Top,Right,Bottom,RecognitionConfidence,Id,LineId,RegionId,imageFile
Top,11,Helvetica,r,41,9,61,21,209,2,1,1,i_0002.jpg 
Hat,11,Helvetica,r,66,9,83,18,199,3,1,1,i_0002.jpg 
Secure,11,Helvetica,r,123,41,163,51,197,7,1,2,i_0002.jpg 
httpsapptophatcome969008,11,Helvetica,r,183,41,388,54,24,8,1,2,i_0002.jpg 
718GB,11,Helvetica,r,169,215,206,224,22,9,2,3,i_0002.jpg 
free,11,Helvetica,r,210,215,229,224,186,10,2,3,i_0002.jpg 
ii,29,HelveticaCentury,b,289,191,308,222,27,12,3,4,i_0002.jpg 
Aphanetic,11,Helvetica,r,614,626,664,638,88,19,4,7,i_0002.jpg 
nerained,11,Helvetica,r,681,626,743,638,43,20,4,7,i_0002.jpg 
texture,11,Helvetica,r,747,627,785,636,206,21,4,7,i_0002.jpg 
crystals,11,Helvetica,r,676,641,718,653,198,22,4,8,i_0002.jpg 
that,11,Helvetica,r,722,641,742,651,208,23,4,8,i_0002.jpg 
are,11,Helvetica,r,747,643,764,651,204,24,4,8,i_0002.jpg 
too,11,Helvetica,r,768,642,785,651,209,25,4,8,i_0002.jpg 
tnt,9,Helvetica,b,635,656,649,664,95,27,4,9,i_0002.jpg 
ffi,9,Helvetica,b,653,656,670,664,31,28,4,9,i_0002.jpg 
individiiM,9,Helvetica,b,675,656,727,664,34,29,4,9,i_0002.jpg 
tn,9,Helvetica,b,783,657,793,664,71,31,4,9,i_0002.jpg 
r1,8,Times,r,185,687,199,692,21,34,7,12,i_0002.jpg 
L1,6,Helvetica,r,185,696,199,701,28,35,7,13,i_0002.jpg 
Zoom1,11,Helvetica,r,280,690,313,699,203,37,9,15,i_0002.jpg 
iiI,11,Helvetica,r,858,743,872,753,28,44,13,20,i_0002.jpg 
AM,11,Helvetica,r,966,735,985,744,210,48,13,20,i_0002.jpg 
Top,11,Helvetica,r,41,9,61,21,210,2,1,1,i_0003.jpg 
Hat,11,Helvetica,r,66,9,83,18,104,3,1,1,i_0003.jpg 
Secure,11,Helvetica,r,123,41,163,51,199,6,1,2,i_0003.jpg 
httpsapptophatcom,11,Helvetica,r,183,41,324,54,37,8,1,2,i_0003.jpg 
dii,6,Helvetica,b,861,743,872,753,23,13,2,3,i_0003.jpg 
AM,11,Helvetica,r,966,735,984,744,210,17,2,3,i_0003.jpg 
RJ,11,Helvetica,r,115,88,129,108,37,19,3,5,i_0003.jpg 
TechSmith,9,Times,r,132,90,185,99,33,20,3,5,i_0003.jpg 
JJ,13,Helvetica,r,495,88,503,99,35,26,3,5,i_0003.jpg 
TV,43,HelveticaCentury,b,285,440,377,479,66,43,7,16,i_0003.jpg 
teEture,11,Helvetica,r,748,627,785,636,43,50,11,21,i_0003.jpg 
crystals,11,Helvetica,r,676,641,718,653,201,51,11,22,i_0003.jpg 
that,11,Helvetica,r,722,641,742,651,208,52,11,22,i_0003.jpg 
are,11,Helvetica,r,747,643,764,651,209,53,11,22,i_0003.jpg 
too,11,Helvetica,r,768,642,785,651,207,54,11,22,i_0003.jpg 
tnt,10,Helvetica,b,635,656,649,664,120,56,11,23,i_0003.jpg 
th,9,Helvetica,r,653,656,670,664,32,57,11,23,i_0003.jpg 
indivsdiM,10,Helvetica,b,675,656,727,664,30,58,11,23,i_0003.jpg 
tn,10,Helvetica,b,783,657,793,664,58,60,11,23,i_0003.jpg 
Top,11,Helvetica,r,41,9,61,21,206,1,0,0,i_0004.jpg 
Hat,11,Helvetica,r,66,9,83,18,210,2,0,0,i_0004.jpg 
Secure,11,Helvetica,r,123,41,163,51,132,4,0,1,i_0004.jpg 
Aphanitic,11,Helvetica,r,614,626,664,638,53,9,3,4,i_0004.jpg 
negrained,11,Helvetica,r,681,626,743,638,44,10,3,4,i_0004.jpg 
texture,11,Helvetica,r,748,627,785,636,196,11,3,4,i_0004.jpg 
crystals,11,Helvetica,r,676,641,718,653,204,12,3,5,i_0004.jpg 
that,11,Helvetica,r,722,641,742,651,208,13,3,5,i_0004.jpg 
are,11,Helvetica,r,747,643,764,651,209,14,3,5,i_0004.jpg 
too,11,Helvetica,r,768,642,785,651,209,15,3,5,i_0004.jpg 
tnt,10,Times,r,635,656,649,664,104,17,3,6,i_0004.jpg 
th,9,Times,r,653,656,670,664,32,18,3,6,i_0004.jpg 
individiiM,9,Times,r,675,656,727,664,34,19,3,6,i_0004.jpg 
tn,10,Times,r,783,657,793,664,179,21,3,6,i_0004.jpg 
Ir,15,Helvetica,r,882,741,896,755,27,24,4,7,i_0004.jpg 
AM,11,Helvetica,r,966,735,984,744,210,28,4,7,i_0004.jpg 
texture,13,Helvetica,r,785,651,828,662,224,1,0,0,i_0012.jpg 
crystals,13,Helvetica,r,702,667,751,681,226,2,0,1,i_0012.jpg 
that,13,Helvetica,r,756,667,779,679,223,3,0,1,i_0012.jpg 
are,13,Helvetica,r,785,670,804,679,223,4,0,1,i_0012.jpg 
too,13,Helvetica,r,809,668,828,679,223,5,0,1,i_0012.jpg 
small,13,Helvetica,r,616,685,649,696,224,6,0,2,i_0012.jpg 
for,13,Helvetica,r,655,684,671,696,212,7,0,2,i_0012.jpg 
he,13,Helvetica,r,676,685,695,703,104,8,0,2,i_0012.jpg 
individual,13,Helvetica,r,701,684,761,696,223,9,0,2,i_0012.jpg 
minerals,13,Helvetica,r,768,684,822,696,227,10,0,2,i_0012.jpg 
to,13,Helvetica,r,826,685,838,696,223,11,0,2,i_0012.jpg 
Press,13,Helvetica,r,414,63,447,74,213,12,1,3,i_0012.jpg 
to,13,Helvetica,r,495,64,509,74,223,13,1,3,i_0012.jpg 
exit,13,Helvetica,r,513,63,537,74,227,14,1,3,i_0012.jpg 
full,13,Helvetica,r,541,63,560,74,196,15,1,3,i_0012.jpg 
screen,13,Helvetica,r,565,66,607,74,226,16,1,3,i_0012.jpg 
Zoom,11,Helvetica,b,280,730,313,739,219,23,8,10,i_0012.jpg 
Aphanitic,13,Helvetica,r,630,650,688,664,110,1,0,0,i_0014.jpg 
negrained,13,Helvetica,r,708,650,780,664,80,2,0,0,i_0014.jpg 
texture,13,Helvetica,r,785,651,828,662,200,3,0,0,i_0014.jpg 
crystals,13,Helvetica,r,702,667,751,681,206,4,0,1,i_0014.jpg 
that,13,Helvetica,r,756,667,779,679,208,5,0,1,i_0014.jpg 
are,13,Helvetica,r,785,670,804,679,209,6,0,1,i_0014.jpg 
too,13,Helvetica,r,809,668,828,679,207,7,0,1,i_0014.jpg 
small,13,Helvetica,r,616,685,649,696,210,8,0,2,i_0014.jpg 
for,13,Helvetica,r,655,684,671,696,88,9,0,2,i_0014.jpg 
the,13,Helvetica,r,676,685,695,696,198,10,0,2,i_0014.jpg 
individual,13,Helvetica,r,701,684,761,696,184,11,0,2,i_0014.jpg 
minerals,13,Helvetica,r,768,684,822,696,200,12,0,2,i_0014.jpg 
to,13,Helvetica,r,826,686,838,696,209,13,0,2,i_0014.jpg 
JI,6,Helvetica,b,185,727,199,732,33,14,1,3,i_0014.jpg 
Zoom,11,Helvetica,r,280,730,313,739,203,15,2,4,i_0014.jpg 
ompositi,14,Helvetica,r,80,86,130,99,49,1,0,0,i_0111.jpg 
on,14,Helvetica,r,132,88,145,96,188,2,0,0,i_0111.jpg 
Phaneritic,14,Helvetica,r,84,125,145,137,88,3,0,1,i_0111.jpg 
Coarsegrained,14,Helvetica,r,64,142,166,156,126,4,0,2,i_0111.jpg 
Aphanitic,14,Helvetica,r,87,171,142,186,46,5,0,3,i_0111.jpg 
Finegralned,14,Helvetica,r,72,187,158,202,44,6,0,4,i_0111.jpg 
Felsic,18,Helvetica,b,267,77,314,93,38,10,2,6,i_0111.jpg 
Granltic,14,Helvetica,r,256,97,320,111,24,11,2,7,i_0111.jpg 
Granite,14,Helvetica,r,266,134,315,146,175,12,2,8,i_0111.jpg 
Rhyolite,15,Times,r,264,176,318,192,56,13,2,9,i_0111.jpg 
650C,12,Helvetica,r,185,706,229,718,113,14,3,10,i_0111.jpg 
Increasing,14,Helvetica,r,450,627,521,643,79,15,4,11,i_0111.jpg 
potassium,14,Helvetica,r,527,629,597,643,190,16,4,11,i_0111.jpg 
and,14,Helvetica,r,602,627,628,640,209,17,4,11,i_0111.jpg 
sodium,14,Times,r,634,628,685,640,188,18,4,11,i_0111.jpg 
Increasing,14,Helvetica,r,428,667,499,683,98,19,4,12,i_0111.jpg 
iron,14,Helvetica,r,505,667,534,681,119,20,4,12,i_0111.jpg 
magnesium,14,Helvetica,r,541,667,621,683,201,21,4,12,i_0111.jpg 
and,14,Helvetica,r,627,667,653,679,210,22,4,12,i_0111.jpg 
calcium,14,Helvetica,r,658,667,712,679,66,23,4,12,i_0111.jpg 
Temperature,14,Helvetica,r,439,706,527,723,208,24,4,13,i_0111.jpg 
at,14,Helvetica,r,532,706,544,718,210,25,4,13,i_0111.jpg 
which,14,Helvetica,r,549,706,590,718,187,26,4,13,i_0111.jpg 
melting,14,Helvetica,r,596,706,647,721,104,27,4,13,i_0111.jpg 
begins,14,Helvetica,r,653,706,697,721,110,28,4,13,i_0111.jpg 
Intermediate,18,Helvetica,b,461,77,563,93,148,31,6,15,i_0111.jpg 
Andesitic,14,Helvetica,r,472,96,546,111,48,32,6,16,i_0111.jpg 
Diorite,14,Helvetica,r,490,134,534,146,40,33,6,17,i_0111.jpg 
Andesite,14,Helvetica,r,482,176,542,189,110,34,6,18,i_0111.jpg 
Mafic,18,Helvetica,b,672,78,716,93,52,36,8,20,i_0111.jpg 
lb,6,Helvetica,b,773,69,783,76,37,37,8,20,i_0111.jpg 
Sabbro,14,Helvetica,r,669,134,719,147,27,39,8,22,i_0111.jpg 
Basalt,14,Helvetica,r,673,176,715,189,182,41,8,23,i_0111.jpg 
Percent,14,Helvetica,r,80,356,127,368,207,44,9,26,i_0111.jpg 
by,14,Helvetica,r,97,373,110,388,190,46,9,27,i_0111.jpg 
volume,14,Helvetica,r,81,390,123,402,189,47,9,28,i_0111.jpg 
Peridotite,14,Helvetica,r,833,134,898,147,40,49,10,30,i_0111.jpg 
Komatlite,14,Helvetica,r,833,173,897,186,32,51,12,32,i_0111.jpg 
Rare,14,Helvetica,r,843,187,886,201,194,52,12,33,i_0111.jpg 
Increasing,14,Helvetica,r,488,588,559,604,99,55,13,34,i_0111.jpg 
silica,14,Helvetica,r,564,588,598,600,165,56,13,34,i_0111.jpg 
S102,14,Helvetica,r,604,588,643,602,24,57,13,34,i_0111.jpg 
ENDESC,11,TimesCentury,b,54,20,111,32,45,0,0,0,i_0240.jpg 
Composition,14,Helvetica,r,72,84,145,99,87,1,1,1,i_0240.jpg 
Phaneritic,14,Helvetica,b,84,125,145,137,115,2,1,2,i_0240.jpg 
Coarsegrained,14,Helvetica,b,64,141,166,157,79,3,1,3,i_0240.jpg 
Aphanlttc,14,Helvetica,r,87,171,142,186,54,4,1,4,i_0240.jpg 
Finerained,14,Helvetica,b,72,188,158,202,167,5,1,5,i_0240.jpg 
Percent,14,Helvetica,b,80,356,127,368,200,6,2,6,i_0240.jpg 
by,14,Helvetica,b,97,373,110,388,190,7,2,7,i_0240.jpg 
volume,14,Helvetica,b,81,390,123,402,199,8,2,8,i_0240.jpg 
Felsic,18,Century,b,267,77,314,93,68,13,4,13,i_0240.jpg 
Granitic,14,Helvetica,b,256,96,320,111,37,14,4,14,i_0240.jpg 
Granite,14,Helvetica,b,266,134,315,147,62,15,4,15,i_0240.jpg 
Intermediate,18,Century,b,461,77,563,92,120,16,5,16,i_0240.jpg 
Andesitic,14,Helvetica,r,472,96,547,111,37,17,5,17,i_0240.jpg 
Mafic,18,Century,b,672,77,716,93,61,19,6,19,i_0240.jpg 
Basaltic,14,Helvetica,b,662,96,727,111,29,20,6,20,i_0240.jpg 
3ab,14,Times,r,669,134,696,147,34,21,6,21,i_0240.jpg 
bra,13,Helvetica,r,698,135,719,147,61,22,6,21,i_0240.jpg 
II,9,Times,b,773,71,776,88,24,23,7,22,i_0240.jpg 
Peridotite,13,Helvetica,r,833,134,898,147,41,24,8,23,i_0240.jpg 
Increasing,14,Helvetica,r,450,627,520,644,55,27,11,26,i_0240.jpg 
pnisstum,14,Times,r,527,630,597,644,26,28,11,26,i_0240.jpg 
and,14,Helvetica,b,602,628,628,640,196,29,11,26,i_0240.jpg 
sodium,14,Helvetica,r,634,627,685,640,192,30,11,26,i_0240.jpg 
Increasing,14,Helvetica,b,428,667,500,683,136,31,11,27,i_0240.jpg 
magnesium,14,Times,r,541,667,621,683,195,33,11,27,i_0240.jpg 
and,14,Helvetica,b,627,667,653,679,211,34,11,27,i_0240.jpg 
calcium,15,Helvetica,r,658,666,713,679,193,35,11,27,i_0240.jpg 
Rhyolite,14,Times,r,264,176,318,192,38,38,13,30,i_0240.jpg 
