word,Fontsize,FontFamily,FontFaceStyle,Left,Top,Right,Bottom,RecognitionConfidence,Id,RegionId,LineId,imageFile
Ic,23,Times,r,58,51,70,63,41,1,0,0,Slide1.jpg
was,23,Times,r,76,55,102,63,208,2,0,0,Slide1.jpg
man,23,Times,r,121,55,150,63,210,4,0,0,Slide1.jpg
without,21,Times,r,156,51,210,63,205,5,0,0,Slide1.jpg
past,23,Times,r,55,73,87,87,195,7,0,1,Slide1.jpg
whose,23,Times,r,92,70,138,83,210,8,0,1,Slide1.jpg
future,23,Times,r,143,71,185,83,206,9,0,1,Slide1.jpg
was,22,Times,r,190,75,217,83,210,10,0,1,Slide1.jpg
the,23,Times,r,52,90,72,102,211,11,0,2,Slide1.jpg
imminent,23,Times,r,79,90,146,102,204,12,0,2,Slide1.jpg
grave,23,Times,r,152,94,190,106,203,13,0,2,Slide1.jpg
and,23,Times,r,196,90,221,102,210,14,0,2,Slide1.jpg
present,23,Times,r,114,112,165,126,206,16,0,3,Slide1.jpg
was,23,Times,r,170,114,197,122,210,17,0,3,Slide1.jpg
bitter,23,Times,r,62,129,99,141,209,19,0,4,Slide1.jpg
fever,23,Times,r,104,129,140,141,200,20,0,4,Slide1.jpg
of,23,Times,r,146,128,162,141,209,21,0,4,Slide1.jpg
living,23,Times,r,165,128,210,145,207,22,0,4,Slide1.jpg
Every,21,Times,r,285,42,326,58,202,23,1,5,Slide1.jpg
book,21,Times,r,332,42,367,54,211,24,1,5,Slide1.jpg
was,21,Times,r,372,46,399,54,200,25,1,5,Slide1.jpg
peephole,23,Times,r,417,46,455,58,173,27,1,5,Slide1.jpg
into,23,Times,r,320,63,346,76,212,28,1,6,Slide1.jpg
the,23,Times,r,352,63,373,76,209,29,1,6,Slide1.jpg
realm,23,Times,r,378,63,418,76,212,30,1,6,Slide1.jpg
of,23,Times,r,424,63,440,76,211,31,1,6,Slide1.jpg
knowledge,23,Times,r,284,86,366,102,208,32,1,7,Slide1.jpg
His,23,Times,r,372,85,396,98,211,33,1,7,Slide1.jpg
hunger,23,Times,r,402,86,451,102,200,34,1,7,Slide1.jpg
kd,21,Times,r,285,107,306,119,42,35,1,8,Slide1.jpg
upon,18,Times,b,312,111,346,123,203,36,1,8,Slide1.jpg
what,23,Times,r,352,107,386,119,212,37,1,8,Slide1.jpg
he,23,Times,r,392,107,407,119,211,38,1,8,Slide1.jpg
read,23,Times,r,414,107,447,121,160,39,1,8,Slide1.jpg
and,23,Times,r,284,129,309,141,209,40,1,9,Slide1.jpg
increased,23,Times,r,315,128,385,141,123,41,1,9,Slide1.jpg
Equation,19,Helvetica,b,612,140,662,151,194,48,2,11,Slide1.jpg
Binom,19,Helvetica,b,612,156,646,165,93,49,2,12,Slide1.jpg
Why,23,Times,r,36,182,70,198,212,50,3,13,Slide1.jpg
didnt,23,Times,r,76,181,118,194,196,51,3,13,Slide1.jpg
you,23,Times,r,123,186,149,198,212,52,3,13,Slide1.jpg
dare,23,Times,r,155,182,184,194,213,53,3,13,Slide1.jpg
it,23,Times,r,190,181,199,194,213,54,3,13,Slide1.jpg
before,23,Times,r,204,181,257,194,195,55,3,13,Slide1.jpg
he,23,Times,r,263,181,279,194,212,56,3,13,Slide1.jpg
asked,23,Times,r,284,181,324,194,211,57,3,13,Slide1.jpg
harshly,23,Times,r,330,181,384,198,193,58,3,13,Slide1.jpg
When,23,Times,r,36,202,78,214,212,59,3,14,Slide1.jpg
hadnt,23,Times,r,94,201,139,214,203,61,3,14,Slide1.jpg
job,23,Times,r,155,201,186,218,105,63,3,14,Slide1.jpg
When,23,Times,r,192,202,234,214,210,64,3,14,Slide1.jpg
was,23,Times,r,250,206,277,214,206,66,3,14,Slide1.jpg
starving,23,Times,r,283,202,347,218,195,67,3,14,Slide1.jpg
When,23,Times,r,353,201,395,214,180,68,3,14,Slide1.jpg
was,23,Times,r,411,206,437,214,210,70,3,14,Slide1.jpg
just,23,Times,r,441,201,468,218,210,71,3,14,Slide1.jpg
as,23,Times,r,474,206,487,214,211,72,3,14,Slide1.jpg
am,23,Times,r,504,206,524,214,213,74,3,14,Slide1.jpg
now,23,Times,r,530,206,563,215,137,75,3,14,Slide1.jpg
as,23,Times,r,569,206,582,214,207,76,3,14,Slide1.jpg
as,23,Times,r,575,206,654,214,207,77,3,14,Slide1.jpg
an,23,Times,r,36,225,52,233,212,78,3,15,Slide1.jpg
artist,23,Times,r,58,223,97,235,195,79,3,15,Slide1.jpg
the,23,Times,r,102,221,124,233,212,80,3,15,Slide1.jpg
same,23,Times,r,129,225,165,233,211,81,3,15,Slide1.jpg
Martin,23,Times,r,171,221,218,233,158,82,3,15,Slide1.jpg
Eden,23,Times,r,225,221,268,233,208,83,3,15,Slide1.jpg
Thats,23,Times,r,273,221,317,233,201,84,3,15,Slide1.jpg
the,23,Times,r,322,221,343,233,211,85,3,15,Slide1.jpg
question,23,Times,r,349,223,413,237,151,86,3,15,Slide1.jpg
Ive,23,Times,r,420,221,447,233,181,87,3,15,Slide1.jpg
been,23,Times,r,452,221,485,233,210,88,3,15,Slide1.jpg
asking,23,Times,r,491,221,537,237,205,89,3,15,Slide1.jpg
myself,23,Times,r,542,221,590,237,212,90,3,15,Slide1.jpg
for,23,Times,r,596,221,616,233,196,91,3,15,Slide1.jpg
many,23,Times,r,621,225,660,237,212,92,3,15,Slide1.jpg
day,23,Times,r,49,241,76,257,206,94,3,16,Slide1.jpg
My,23,Times,r,83,241,107,257,213,95,3,16,Slide1.jpg
brain,23,Times,r,112,241,148,253,212,96,3,16,Slide1.jpg
is,23,Times,r,154,240,164,253,212,97,3,16,Slide1.jpg
the,23,Times,r,170,241,191,253,210,98,3,16,Slide1.jpg
same,23,Times,r,197,245,232,253,211,99,3,16,Slide1.jpg
old,23,Times,r,238,241,260,253,213,100,3,16,Slide1.jpg
brain,23,Times,r,266,240,305,253,211,101,3,16,Slide1.jpg
And,23,Times,r,311,241,341,253,212,102,3,16,Slide1.jpg
what,23,Times,r,346,241,380,253,200,103,3,16,Slide1.jpg
is,23,Times,r,386,240,396,253,211,104,3,16,Slide1.jpg
puzzling,23,Times,r,402,240,463,257,212,105,3,16,Slide1.jpg
me,23,Times,r,468,245,489,253,206,106,3,16,Slide1.jpg
is,23,Times,r,495,240,505,253,212,107,3,16,Slide1.jpg
why,23,Times,r,511,241,541,257,211,108,3,16,Slide1.jpg
they,23,Times,r,547,240,577,257,210,109,3,16,Slide1.jpg
want,23,Times,r,582,244,616,253,209,110,3,16,Slide1.jpg
mc,23,Times,r,622,245,642,253,63,111,3,16,Slide1.jpg
now,23,Times,r,36,264,69,272,203,112,3,17,Slide1.jpg
Surely,23,Times,r,76,260,121,276,212,113,3,17,Slide1.jpg
they,23,Times,r,127,260,157,276,212,114,3,17,Slide1.jpg
dont,23,Times,r,162,260,199,272,206,115,3,17,Slide1.jpg
