Sentence,SlideNumber,Id,RegionId,Parent
Parsing,1,1,0,0
Recommended  Reading:  Ch.  12-14thJurafsky  &  Martin  2nd  edition ,1,2,1,
"PI  Disclosure:  This  set  includes  adapted  material  from  RadaMihalcea,  Raymond  Mooney  and  Dan  Jurafsky ",1,3,2,
Today ,2,4,0,0
Parsing  with  CFGs ,2,5,1,
"Bottom-up,  top-down ",2,6,1,5
Ambiguity  ,2,7,1,5
CKY  parsing,2,8,1,5
Early  algorithm ,2,9,1,5
Parsing  with  CFGs ,3,10,0,0
Parsing  with  CFGs  refers  to  the  task  of  assigning  proper  trees  to  input  strings  ,3,11,1,
Proper:  a  tree  that  covers  all  and  only  the  elements  of  the  input  and  has  an  S  at  the  top ,3,12,2,
It  doesn’t  actually  mean  that  the  system  can  select  the  correct  tree  from  among  all  the  possible  trees ,3,13,3,
Parsing  with  CFGs ,4,14,0,0
"As  with  everything  of  interest,  parsing  involves  a  search",4,15,1,
We’ll  start  with  some  basic  methods: ,4,16,2,
Top  down  parsing ,4,17,2,16
Bottom  up  parsing ,4,18,2,16
Real  algorithms: ,4,19,3,
Cocke-Kasami-Younger  (CKY)  ,4,20,3,19
Earley  parser  ,4,21,3,19
For  Now,5,22,0,0
Assume...,5,23,1,
You  have  all  the  words  already  in  some  buffer,5,24,1,23
The  input  isn’t  POS  tagged,5,25,1,23
We  won’t  worry  about  morphological  analysis ,5,26,1,23
All  the  words  are  known,5,27,1,23
Top-Down  Search ,6,28,0,0
"Since  we’re  trying  to  find  trees  rooted  with  an  S(Sentences),  why  not  start  with  the  rules  that  give  us  an  S.",6,29,1,
Then  we  can  work  our  way  down  from  there  to  the  words. ,6,30,2,
As  an  example  let’s  parse  the  sentence: ,6,31,3,
Book  that  flight ,6,32,3,31
Bottom-Up  Parsing ,29,33,0,0
"Of  course,  we  also  want  trees  that  cover  the  input  words.  So  we  might  also  start  with  trees  that  link  up  with  the  words  in  the  right  way.",29,34,1,
Then  work  your  way  up  from  there  to  larger  and  larger  trees. ,29,35,2,
Top-Down  and  Bottom-Up,52,36,0,0
Top-down ,52,37,1,
Only  searches  for  trees  that  can  be  answers  (i.e.  S’s),52,38,1,37
But  also  suggests  trees  that  are  not  consistent  with  any  of  the  words ,52,39,1,37
Bottom-up,52,40,2,
Only  forms  trees  consistent  with  the  words  ,52,41,2,40
But  suggests  trees  that  make  no  sense  globally ,52,42,2,40
Control  ,53,43,0,0
