word,Fontsize,FontFamily,FontFaceStyle,Left,Top,Right,Bottom,RecognitionConfidence,Id,RegionId,LineId,imageFile,,
Sample,34,HelveticaCentury,r,218,81,354,121,212,0,0,0,I_0088.jpg,,701
Job,34,HelveticaCentury,r,366,81,428,113,212,1,0,0,I_0088.jpg,,
Posfing,34,HelveticaCentury,r,445,83,578,121,58,2,0,0,I_0088.jpg,,
Subject,12,Helvetica,r,82,148,136,162,202,3,0,1,I_0088.jpg,,
USTNSOFTWARE,12,Helvetica,r,142,148,265,159,202,4,0,1,I_0088.jpg,,
PROGRAMMER,12,Helvetica,r,272,148,375,159,210,5,0,1,I_0088.jpg,,
Date,12,Helvetica,r,83,168,117,179,203,6,0,2,I_0088.jpg,,
Nov,12,Helvetica,r,145,168,171,179,204,7,0,2,I_0088.jpg,,
GMT,12,Helvetica,r,278,168,311,179,193,8,0,2,I_0088.jpg,,
Organization,12,Helvetica,r,82,188,173,202,151,9,0,3,I_0088.jpg,,
ReferenceCom,12,Helvetica,r,179,187,283,199,126,10,0,3,I_0088.jpg,,
Posting,12,Helvetica,r,289,188,338,202,166,11,0,3,I_0088.jpg,,
Service,12,Helvetica,r,343,188,391,199,210,12,0,3,I_0088.jpg,,
MessageID,12,Helvetica,r,83,208,165,222,120,13,0,4,I_0088.jpg,,
S6nigpmrsbilboreferencecom,12,Helvetica,r,171,207,423,222,27,14,0,4,I_0088.jpg,,
SOFTWARE,12,Helvetica,r,82,249,158,260,211,15,0,5,I_0088.jpg,,
PROGRAMMER,12,Helvetica,r,164,249,268,260,210,16,0,5,I_0088.jpg,,
Position,12,Helvetica,r,83,290,136,301,178,17,0,6,I_0088.jpg,,
available,12,Helvetica,r,142,289,201,301,207,18,0,6,I_0088.jpg,,
for,12,Helvetica,r,206,289,226,301,210,19,0,6,I_0088.jpg,,
Software,12,Helvetica,r,231,289,291,301,212,20,0,6,I_0088.jpg,,
Programmer,12,Helvetica,r,296,290,382,304,210,21,0,6,I_0088.jpg,,
experienced,12,Helvetica,r,387,290,470,304,206,22,0,6,I_0088.jpg,,
in,13,Helvetica,r,480,290,490,301,207,23,0,6,I_0088.jpg,,
generating,12,Helvetica,r,496,290,569,304,186,24,0,6,I_0088.jpg,,
software,12,Helvetica,r,574,289,633,301,210,25,0,6,I_0088.jpg,,
for,12,Helvetica,r,638,290,657,301,210,26,0,6,I_0088.jpg,,
PC,13,Helvetica,r,663,290,683,301,93,27,0,6,I_0088.jpg,,
Based,12,Helvetica,r,83,310,122,321,210,28,0,7,I_0088.jpg,,
Voice,12,Helvetica,r,127,310,164,321,210,29,0,7,I_0088.jpg,,
Mail,12,Helvetica,r,170,310,198,321,189,30,0,7,I_0088.jpg,,
systems,12,Helvetica,r,204,311,261,324,157,31,0,7,I_0088.jpg,,
Experienced,12,Helvetica,r,271,310,353,324,209,32,0,7,I_0088.jpg,,
in,13,Helvetica,r,360,310,370,321,212,33,0,7,I_0088.jpg,,
Programming,12,Helvetica,r,390,310,484,324,155,34,0,7,I_0088.jpg,,
Must,12,Helvetica,r,495,311,529,321,212,35,0,7,I_0088.jpg,,
be,12,Helvetica,r,534,310,550,321,212,36,0,7,I_0088.jpg,,
familiar,12,Helvetica,r,555,310,606,321,193,37,0,7,I_0088.jpg,,
with,12,Helvetica,r,611,310,640,321,195,38,0,7,I_0088.jpg,,
communicating,12,Helvetica,r,82,330,187,344,191,39,0,8,I_0088.jpg,,
with,12,Helvetica,r,193,330,221,341,205,40,0,8,I_0088.jpg,,
and,12,Helvetica,r,227,330,251,341,210,41,0,8,I_0088.jpg,,
controlling,12,Helvetica,r,257,329,329,344,205,42,0,8,I_0088.jpg,,
voice,12,Helvetica,r,335,330,369,341,210,43,0,8,I_0088.jpg,,
cards,12,Helvetica,r,375,330,414,343,151,44,0,8,I_0088.jpg,,
preferable,12,Helvetica,r,420,329,490,344,211,45,0,8,I_0088.jpg,,
