Word, Fontsize, FontFamily, FontFaceStyle, Left, Top, Right, Bottom, RecognitionConfidence, Id, LineId, RegionId, ImageFile 
Orientation,47,HelveticaCentury,b,241,73,525,115,212,0,0,0,i_0002.jpg 
summary,47,HelveticaCentury,b,546,84,779,126,212,1,0,0,i_0002.jpg 
Go,19,Helvetica,b,433,168,460,184,212,3,0,1,i_0002.jpg 
to,19,Helvetica,b,468,169,488,184,211,4,0,1,i_0002.jpg 
Blackboard,19,Helvetica,b,497,166,608,184,210,5,0,1,i_0002.jpg 
Familiarize,16,Helvetica,r,478,197,567,211,208,7,0,2,i_0002.jpg 
yourself,16,Helvetica,r,574,197,642,215,210,8,0,2,i_0002.jpg 
with,16,Helvetica,r,648,197,684,211,210,9,0,2,i_0002.jpg 
the,16,Helvetica,r,691,197,718,211,212,10,0,2,i_0002.jpg 
organization,16,Helvetica,r,725,197,829,215,208,11,0,2,i_0002.jpg 
Read,16,Helvetica,r,478,222,518,236,211,13,0,3,i_0002.jpg 
through,16,Helvetica,r,524,222,591,240,212,14,0,3,i_0002.jpg 
the,16,Helvetica,r,598,222,625,236,212,15,0,3,i_0002.jpg 
orientation,16,Helvetica,r,632,222,726,236,210,16,0,3,i_0002.jpg 
slides,16,Helvetica,r,733,222,780,236,204,17,0,3,i_0002.jpg 
Familiarize,13,Helvetica,r,522,247,600,259,209,18,0,4,i_0002.jpg 
yourself,13,Helvetica,r,605,247,665,262,210,19,0,4,i_0002.jpg 
with,13,Helvetica,r,670,247,701,259,210,20,0,4,i_0002.jpg 
what,13,Helvetica,r,707,247,744,259,211,21,0,4,i_0002.jpg 
is,13,Helvetica,r,750,247,760,259,210,22,0,4,i_0002.jpg 
required,13,Helvetica,r,766,247,827,262,209,23,0,4,i_0002.jpg 
of,13,Helvetica,r,834,247,848,259,210,24,0,4,i_0002.jpg 
you,13,Helvetica,r,853,251,879,262,212,25,0,4,i_0002.jpg 
Take,16,Helvetica,r,476,270,513,284,211,27,0,5,i_0002.jpg 
the,16,Helvetica,r,520,270,547,284,213,28,0,5,i_0002.jpg 
Orientation,16,Helvetica,r,554,270,650,284,196,29,0,5,i_0002.jpg 
Quiz,16,Helvetica,r,658,270,695,286,197,30,0,5,i_0002.jpg 
Orientation,16,Helvetica,r,477,295,574,309,206,32,0,6,i_0002.jpg 
assignment,16,Helvetica,r,581,295,678,313,210,33,0,6,i_0002.jpg 
due,16,Helvetica,r,684,295,715,309,210,34,0,6,i_0002.jpg 
on,16,Helvetica,r,722,299,742,309,214,35,0,6,i_0002.jpg 
Fri,16,Helvetica,r,750,295,769,309,168,36,0,6,i_0002.jpg 
pm,16,Helvetica,r,888,299,919,313,204,40,0,6,i_0002.jpg 
Buy,19,Helvetica,b,434,323,470,344,210,42,0,7,i_0002.jpg 
the,19,Helvetica,b,477,321,510,339,211,43,0,7,i_0002.jpg 
book,19,Helvetica,b,519,321,573,343,201,44,0,7,i_0002.jpg 
start,19,Helvetica,b,582,324,628,339,210,45,0,7,i_0002.jpg 
reading,19,Helvetica,b,636,321,717,344,196,46,0,7,i_0002.jpg 
Reading,16,Helvetica,r,478,352,545,370,212,48,0,8,i_0002.jpg 
assignments,16,Helvetica,r,551,352,656,370,210,49,0,8,i_0002.jpg 
and,16,Helvetica,r,663,352,692,366,213,50,0,8,i_0002.jpg 
online,16,Helvetica,r,700,352,752,366,209,51,0,8,i_0002.jpg 
quizzes,16,Helvetica,r,759,352,819,370,210,52,0,8,i_0002.jpg 
before,16,Helvetica,r,826,352,880,366,211,53,0,8,i_0002.jpg 
each,16,Helvetica,r,887,352,925,366,210,54,0,8,i_0002.jpg 
class,16,Helvetica,r,477,372,516,386,211,55,0,9,i_0002.jpg 
see,16,Helvetica,r,523,371,556,390,206,56,0,9,i_0002.jpg 
orientation,16,Helvetica,r,563,371,664,390,201,57,0,9,i_0002.jpg 
Lecture,16,Helvetica,r,478,398,540,411,210,59,0,10,i_0002.jpg 
prereading,16,Helvetica,r,562,397,661,415,47,61,0,10,i_0002.jpg 
quiz,16,Helvetica,r,667,397,701,415,211,62,0,10,i_0002.jpg 
Opens,13,Helvetica,r,522,423,568,437,210,64,0,11,i_0002.jpg 
at,13,Helvetica,r,574,424,587,434,212,65,0,11,i_0002.jpg 
pm,13,Helvetica,r,607,426,634,437,190,67,0,11,i_0002.jpg 
Monday,13,Helvetica,r,641,422,701,437,206,68,0,11,i_0002.jpg 
Qs,13,Helvetica,r,545,444,570,459,52,72,0,12,i_0002.jpg 
mm,13,Helvetica,r,600,444,631,459,29,74,0,12,i_0002.jpg 
attempt,13,Helvetica,r,651,446,710,459,209,76,0,12,i_0002.jpg 
Due,13,Helvetica,r,522,467,550,478,210,78,0,13,i_0002.jpg 
noon,13,Helvetica,r,582,470,618,478,210,80,0,13,i_0002.jpg 
Questions,19,Helvetica,b,433,489,547,509,200,82,0,14,i_0002.jpg 
Watch,16,Helvetica,r,477,520,530,534,211,84,0,15,i_0002.jpg 
the,16,Helvetica,r,536,520,564,534,213,85,0,15,i_0002.jpg 
15t,9,Helvetica,b,572,519,590,534,26,86,0,15,i_0002.jpg 
recorded,16,Helvetica,r,597,520,672,534,211,87,0,15,i_0002.jpg 
video,16,Helvetica,r,679,520,725,534,210,88,0,15,i_0002.jpg 
from,16,Helvetica,r,731,520,770,534,212,89,0,15,i_0002.jpg 
Tuesday,16,Helvetica,r,777,520,846,538,193,90,0,15,i_0002.jpg 
via,16,Helvetica,r,852,520,874,534,212,91,0,15,i_0002.jpg 
Blackboard,16,Helvetica,r,478,540,571,554,206,92,0,16,i_0002.jpg 
Do,16,Helvetica,r,478,567,499,580,210,94,0,17,i_0002.jpg 
the,16,Helvetica,r,505,566,533,580,213,95,0,17,i_0002.jpg 
Orientation,16,Helvetica,r,540,566,636,580,207,96,0,17,i_0002.jpg 
Quiz,16,Helvetica,r,644,566,681,582,208,97,0,17,i_0002.jpg 
and,16,Helvetica,r,687,566,717,580,212,98,0,17,i_0002.jpg 
get,16,Helvetica,r,724,567,750,584,211,99,0,17,i_0002.jpg 
Email,16,Helvetica,r,478,591,522,605,199,103,0,18,i_0002.jpg 
me,16,Helvetica,r,530,595,555,605,214,104,0,18,i_0002.jpg 
info,16,Helvetica,r,562,590,600,609,206,105,0,18,i_0002.jpg 
on,16,Helvetica,r,606,595,626,605,211,106,0,18,i_0002.jpg 
website,16,Helvetica,r,633,590,705,609,167,107,0,18,i_0002.jpg 
as,16,Helvetica,r,712,595,728,605,206,108,0,18,i_0002.jpg 
last,16,Helvetica,r,751,591,779,605,211,110,0,18,i_0002.jpg 
resort,16,Helvetica,r,785,592,835,605,210,111,0,18,i_0002.jpg 
Helo,66,HelveticaCentury,b,113,332,315,392,57,114,3,21,i_0002.jpg 
new,13,Helvetica,b,161,407,191,416,210,115,3,22,i_0002.jpg 
student,13,Helvetica,b,196,404,253,416,209,116,3,22,i_0002.jpg 
of,16,Helvetica,r,836,197,853,211,213,117,4,23,i_0002.jpg 
the,16,Helvetica,r,858,197,885,211,213,118,4,23,i_0002.jpg 
website,16,Helvetica,r,892,197,957,211,200,119,4,23,i_0002.jpg 
Physiology,47,HelveticaCentury,r,381,71,642,126,199,0,0,0,i_0057.jpg 
The,31,HelveticaCentury,r,99,189,166,220,211,2,0,1,i_0057.jpg 
scientific,31,HelveticaCentury,r,179,189,339,220,206,3,0,1,i_0057.jpg 
study,31,HelveticaCentury,r,352,189,450,228,210,4,0,1,i_0057.jpg 
of,31,HelveticaCentury,r,463,189,500,220,212,5,0,1,i_0057.jpg 
the,31,HelveticaCentury,r,510,189,569,220,214,6,0,1,i_0057.jpg 
normal,36,HelveticaCentury,r,584,189,714,221,209,7,0,1,i_0057.jpg 
function,31,HelveticaCentury,r,728,189,878,220,210,8,0,1,i_0057.jpg 
of,31,HelveticaCentury,r,893,189,929,220,213,9,0,1,i_0057.jpg 
living,31,HelveticaCentury,r,102,238,195,277,208,10,0,2,i_0057.jpg 
things,31,HelveticaCentury,r,207,238,317,277,203,11,0,2,i_0057.jpg 
Focus,31,HelveticaCentury,r,147,298,233,323,211,13,0,3,i_0057.jpg 
on,31,HelveticaCentury,r,246,304,284,323,213,14,0,3,i_0057.jpg 
how,31,HelveticaCentury,r,298,296,364,323,212,15,0,3,i_0057.jpg 
organisms,31,HelveticaCentury,r,376,297,545,330,191,16,0,3,i_0057.jpg 
organ,31,HelveticaCentury,r,559,304,646,330,212,17,0,3,i_0057.jpg 
systems,31,HelveticaCentury,r,660,299,792,330,201,18,0,3,i_0057.jpg 
organs,31,HelveticaCentury,r,806,304,919,330,205,19,0,3,i_0057.jpg 
cells,31,HelveticaCentury,r,145,339,221,372,205,20,0,4,i_0057.jpg 
and,31,HelveticaCentury,r,234,339,290,366,212,21,0,4,i_0057.jpg 
biomolecules,31,HelveticaCentury,r,305,339,515,366,161,22,0,4,i_0057.jpg 
carry,31,HelveticaCentury,r,527,347,606,373,212,23,0,4,i_0057.jpg 
out,31,HelveticaCentury,r,617,342,669,366,212,24,0,4,i_0057.jpg 
the,31,HelveticaCentury,r,680,339,732,366,213,25,0,4,i_0057.jpg 
chemical,31,HelveticaCentury,r,744,339,882,366,206,26,0,4,i_0057.jpg 
or,31,HelveticaCentury,r,896,347,928,366,213,27,0,4,i_0057.jpg 
physical,31,HelveticaCentury,r,146,381,268,415,206,28,0,5,i_0057.jpg 
functions,31,HelveticaCentury,r,281,381,429,408,212,29,0,5,i_0057.jpg 
that,31,HelveticaCentury,r,440,381,504,408,214,30,0,5,i_0057.jpg 
exist,31,HelveticaCentury,r,516,383,587,408,212,31,0,5,i_0057.jpg 
in,31,HelveticaCentury,r,600,383,624,408,214,32,0,5,i_0057.jpg 
living,31,HelveticaCentury,r,667,381,748,415,211,34,0,5,i_0057.jpg 
system,31,HelveticaCentury,r,759,384,867,415,213,35,0,5,i_0057.jpg 
subdiscipline,31,HelveticaCentury,r,137,436,385,475,204,38,0,6,i_0057.jpg 
of,31,HelveticaCentury,r,400,436,436,467,214,39,0,6,i_0057.jpg 
biology,31,HelveticaCentury,r,449,436,580,475,207,40,0,6,i_0057.jpg 
Huge,31,HelveticaCentury,r,147,496,225,528,212,42,0,7,i_0057.jpg 
field,31,HelveticaCentury,r,237,494,314,527,205,43,0,7,i_0057.jpg 
subdivided,31,HelveticaCentury,r,327,494,498,521,212,44,0,7,i_0057.jpg 
into,31,HelveticaCentury,r,513,495,572,521,213,45,0,7,i_0057.jpg 
multiple,31,HelveticaCentury,r,586,494,715,528,213,46,0,7,i_0057.jpg 
categories,31,HelveticaCentury,r,727,495,888,528,205,47,0,7,i_0057.jpg 
Central,31,HelveticaCentury,r,101,548,228,579,210,49,0,8,i_0057.jpg 
theme,31,HelveticaCentury,r,243,548,360,579,213,50,0,8,i_0057.jpg 
of,31,HelveticaCentury,r,374,548,410,579,214,51,0,8,i_0057.jpg 
homeostasis,31,HelveticaCentury,r,424,548,648,579,206,52,0,8,i_0057.jpg 
What,31,HelveticaCentury,r,100,608,198,639,213,54,0,9,i_0057.jpg 
is,31,HelveticaCentury,r,213,610,236,639,214,55,0,9,i_0057.jpg 
pathology,31,HelveticaCentury,r,252,608,452,647,206,56,0,9,i_0057.jpg 
What,43,HelveticaCentury,r,86,39,208,79,212,0,0,0,i_0127.jpg 
are,43,HelveticaCentury,r,225,51,295,79,212,1,0,0,i_0127.jpg 
some,43,HelveticaCentury,r,312,51,433,79,212,2,0,0,i_0127.jpg 
of,43,HelveticaCentury,r,451,38,496,79,213,3,0,0,i_0127.jpg 
the,43,HelveticaCentury,r,509,39,583,79,212,4,0,0,i_0127.jpg 
things,43,HelveticaCentury,r,599,39,736,89,212,5,0,0,i_0127.jpg 
that,43,HelveticaCentury,r,752,39,843,79,213,6,0,0,i_0127.jpg 
the,43,HelveticaCentury,r,859,39,932,79,212,7,0,0,i_0127.jpg 
human,43,HelveticaCentury,r,294,107,448,147,212,8,0,1,i_0127.jpg 
body,43,HelveticaCentury,r,469,107,578,157,213,9,0,1,i_0127.jpg 
does,43,HelveticaCentury,r,595,107,726,147,208,10,0,1,i_0127.jpg 
Muscular,11,Helvetica,r,374,419,428,429,52,11,1,2,i_0127.jpg 
Skeletal,11,Helvetica,r,456,419,503,429,176,12,1,2,i_0127.jpg 
Nervous,11,Helvetica,r,527,419,576,429,197,13,1,2,i_0127.jpg 
Circulatory,11,Helvetica,r,678,418,743,431,191,15,1,2,i_0127.jpg 
System,11,Helvetica,r,379,432,423,444,198,16,1,3,i_0127.jpg 
System,11,Helvetica,r,458,431,501,444,206,17,1,3,i_0127.jpg 
System,11,Helvetica,r,529,432,573,444,208,18,1,3,i_0127.jpg 
System,11,Helvetica,r,607,431,651,443,196,19,1,3,i_0127.jpg 
System,11,Helvetica,r,688,431,733,442,187,20,1,3,i_0127.jpg 
it,34,HelveticaCentury,r,288,354,331,390,39,21,2,4,i_0127.jpg 
Integumentary,11,Helvetica,r,289,420,331,431,35,22,3,5,i_0127.jpg 
System,11,Helvetica,r,288,444,332,456,190,23,3,6,i_0127.jpg 
LymphatIc,11,Helvetica,r,290,719,356,731,42,24,4,7,i_0127.jpg 
Respiratory,11,Helvetica,r,371,719,445,731,194,25,4,7,i_0127.jpg 
System,11,Helvetica,r,299,732,346,744,200,26,4,8,i_0127.jpg 
System,11,Helvetica,r,384,732,431,744,202,27,4,8,i_0127.jpg 
Digestive,11,Helvetica,r,465,719,524,732,146,28,5,9,i_0127.jpg 
Urinary,11,Helvetica,r,560,719,606,732,201,29,5,9,i_0127.jpg 
System,11,Helvetica,r,470,732,517,744,203,30,5,10,i_0127.jpg 
System,11,Helvetica,r,559,732,606,744,201,31,5,10,i_0127.jpg 
Reproductive,11,Helvetica,r,653,719,739,732,202,32,6,11,i_0127.jpg 
System,11,Helvetica,r,672,732,719,745,201,33,6,12,i_0127.jpg 
The,38,HelveticaCentury,b,193,71,284,115,213,0,0,0,i_0234.jpg 
Law,38,HelveticaCentury,b,306,74,400,115,212,1,0,0,i_0234.jpg 
of,38,HelveticaCentury,b,418,70,468,115,213,2,0,0,i_0234.jpg 
Mass,38,HelveticaCentury,b,487,74,611,115,212,3,0,0,i_0234.jpg 
Balance,38,HelveticaCentury,b,633,71,823,115,213,4,0,0,i_0234.jpg 
The,21,HelveticaCentury,b,442,172,487,193,211,5,0,1,i_0234.jpg 
body,21,HelveticaCentury,b,498,172,558,199,211,6,0,1,i_0234.jpg 
is,21,HelveticaCentury,b,568,173,584,193,204,7,0,1,i_0234.jpg 
an,21,HelveticaCentury,b,594,179,621,193,211,8,0,1,i_0234.jpg 
open,21,HelveticaCentury,b,632,179,693,199,212,9,0,1,i_0234.jpg 
system,21,HelveticaCentury,b,704,176,788,199,212,10,0,1,i_0234.jpg 
that,21,HelveticaCentury,b,798,172,848,193,212,11,0,1,i_0234.jpg 
exchanges,21,HelveticaCentury,b,443,202,571,229,211,13,0,2,i_0234.jpg 
heat,21,HelveticaCentury,b,582,202,635,223,212,14,0,2,i_0234.jpg 
and,21,HelveticaCentury,b,645,202,689,223,213,15,0,2,i_0234.jpg 
materials,21,HelveticaCentury,b,700,202,814,223,204,16,0,2,i_0234.jpg 
with,21,HelveticaCentury,b,824,202,876,223,203,17,0,2,i_0234.jpg 
the,21,HelveticaCentury,b,886,202,926,223,214,18,0,2,i_0234.jpg 
outside,21,HelveticaCentury,b,443,232,535,253,201,19,0,3,i_0234.jpg 
environment,21,HelveticaCentury,b,545,233,704,253,211,20,0,3,i_0234.jpg 
primary,21,HelveticaCentury,b,469,271,565,297,205,25,0,5,i_0234.jpg 
function,21,HelveticaCentury,b,574,270,676,291,210,26,0,5,i_0234.jpg 
of,21,HelveticaCentury,b,687,270,712,291,213,27,0,5,i_0234.jpg 
the,21,HelveticaCentury,b,720,270,760,291,214,28,0,5,i_0234.jpg 
body,21,HelveticaCentury,b,770,270,831,297,211,29,0,5,i_0234.jpg 
is,21,HelveticaCentury,b,841,271,856,291,210,30,0,5,i_0234.jpg 
the,21,HelveticaCentury,b,865,270,905,291,211,31,0,5,i_0234.jpg 
maintenance,21,HelveticaCentury,b,444,301,605,321,206,32,0,6,i_0234.jpg 
of,21,HelveticaCentury,b,615,300,640,321,211,33,0,6,i_0234.jpg 
homeostasis,23,HelveticaCentury,b,649,300,807,321,172,34,0,6,i_0234.jpg 
constant,21,HelveticaCentury,b,443,333,550,351,212,37,0,7,i_0234.jpg 
internal,21,HelveticaCentury,b,560,330,653,351,199,38,0,7,i_0234.jpg 
environment,21,HelveticaCentury,b,664,331,824,351,212,39,0,7,i_0234.jpg 
Functions,21,HelveticaCentury,b,444,368,563,388,210,40,0,8,i_0234.jpg 
on,21,HelveticaCentury,b,573,374,602,388,213,41,0,8,i_0234.jpg 
the,21,HelveticaCentury,b,612,367,652,388,214,42,0,8,i_0234.jpg 
principle,21,HelveticaCentury,b,663,367,768,394,211,43,0,8,i_0234.jpg 
of,21,HelveticaCentury,b,779,367,803,388,214,44,0,8,i_0234.jpg 
mass,21,HelveticaCentury,b,813,373,875,388,206,45,0,8,i_0234.jpg 
balance,23,HelveticaCentury,b,444,397,541,418,204,46,0,9,i_0234.jpg 
For,21,HelveticaCentury,b,488,435,523,453,210,48,0,10,i_0234.jpg 
any,21,HelveticaCentury,b,531,440,570,458,211,49,0,10,i_0234.jpg 
amount,21,HelveticaCentury,b,579,437,666,453,211,50,0,10,i_0234.jpg 
of,21,HelveticaCentury,b,675,434,698,453,211,51,0,10,i_0234.jpg 
substance,21,HelveticaCentury,b,705,434,818,453,210,52,0,10,i_0234.jpg 
in,21,HelveticaCentury,b,828,436,845,453,208,53,0,10,i_0234.jpg 
the,21,HelveticaCentury,b,854,434,890,453,212,54,0,10,i_0234.jpg 
body,21,HelveticaCentury,b,901,434,955,458,211,55,0,10,i_0234.jpg 
to,21,HelveticaCentury,b,487,464,509,480,213,56,0,11,i_0234.jpg 
remain,21,HelveticaCentury,b,519,463,596,480,207,57,0,11,i_0234.jpg 
constant,21,HelveticaCentury,b,606,464,709,484,199,58,0,11,i_0234.jpg 
any,21,HelveticaCentury,b,719,467,758,485,212,59,0,11,i_0234.jpg 
gain,21,HelveticaCentury,b,766,463,810,485,208,60,0,11,i_0234.jpg 
must,21,HelveticaCentury,b,821,464,876,480,212,61,0,11,i_0234.jpg 
be,21,HelveticaCentury,b,885,461,911,480,213,62,0,11,i_0234.jpg 
througMntestln,9,Helvetica,r,66,499,153,509,27,63,0,12,i_0234.jpg 
by,9,Helvetica,r,237,499,252,508,181,64,0,12,i_0234.jpg 
offset,21,HelveticaCentury,b,488,488,551,507,212,65,0,12,i_0234.jpg 
by,21,HelveticaCentury,b,561,488,586,512,214,66,0,12,i_0234.jpg 
eq,21,HelveticaCentury,b,629,494,655,512,212,69,0,12,i_0234.jpg 
oss,21,HelveticaCentury,b,706,494,741,507,202,74,0,12,i_0234.jpg 
lungs,9,Helvetica,r,83,512,111,521,45,75,0,13,i_0234.jpg 
