id,point_no,type,name,time,desc,belongs_to_index_no,filename,resource_id,duration,text,index_method,text_corrected,text_manual
288242,1,i," Index 1",1,NULL,1,i_0002.jpg,4557,106,"orientation summary go to blackboard familiarize yourself with the organization read through the orientation slides familiarize yourself with what is required of you take the orientation quiz orientation assignment due on fri pm buy the book start reading reading assignments and online quizzes before each class see orientation lecture prereading quiz opens at pm monday qs mm attempt due noon questions watch the 15t recorded video from tuesday via blackboard do the orientation quiz and get email me info on website as last resort helo new student of the website",imageBased,NULL,"orientation summary go to blackboard familiarize yourself with the organization read through the orientation slides familiarize yourself with what is required of you take the orientation quiz orientation assignment due on fri pm buy the book start reading reading assignments and online quizzes before each class see orientation lecture prereading quiz opens at pm monday qs mm attempt due noon questions watch the 15t recorded video from tuesday via blackboard do the orientation quiz and get email me info on website as last resort helo new student of the website"
288243,2,t," Index 2",107,NULL,1,i_0057.jpg,4557,140,"physiology the scientific study of the normal function of living things focus on how organisms organ systems organs cells and biomolecules carry out the chemical or physical functions that exist in living system subdiscipline of biology huge field subdivided into multiple categories central theme of homeostasis what is pathology",imageBased,NULL,"physiology the scientific study of the normal function of living things focus on how organisms organ systems organs cells and biomolecules carry out the chemical or physical functions that exist in living system subdiscipline of biology huge field subdivided into multiple categories central theme of homeostasis what is pathology"
288244,3,i," Index 3",247,NULL,2,i_0127.jpg,4557,214,"what are some of the things that the human body does muscular skeletal nervous circulatory system system system system system it integumentary system lymphatic respiratory system system digestive urinary system system reproductive system",imageBased,NULL,"what are some of the things that the human body does muscular skeletal nervous circulatory system system system system system it integumentary system lymphatic respiratory system system digestive urinary system system reproductive system"
288245,4,i," Index 4",461,NULL,3,i_0234.jpg,4557,258,"the law of mass balance the body is an open system that exchanges heat and materials with the outside environment primary function of the body is the maintenance of homeostasis constant internal environment functions on the principle of mass balance for any amount of substance in the body to remain constant any gain must be througmntestln by offset by eq oss lungs skin lungs skin gain intake via food and drink as well as materials produced loss usually accomplished through excretion think urine feces exhaling sweating but also through metabolism catabolic activity to break down anabolic to make something new bode removal",imageBased,NULL,"the law of mass balance the body is an open system that exchanges heat and materials with the outside environment primary function of the body is the maintenance of homeostasis constant internal environment functions on the principle of mass balance for any amount of substance in the body to remain constant any gain must be througmntestln by offset by eq oss lungs skin lungs skin gain intake via food and drink as well as materials produced loss usually accomplished through excretion think urine feces exhaling sweating but also through metabolism catabolic activity to break down anabolic to make something new bode removal"
288246,5,i," Index 5",719,NULL,4,i_0363.jpg,4557,222,"the three fluid compartments of the body body can be divided into two nim 44mm mm that is found inside the cells ecf extracellular fluid fluid that is found outside the cells compartments are separated by barrier plasma membrane qqii iia1 wi lcq ii lmactllular4 iu11t2 primary compartments cells fluid icf intracellular fluid fluid pci gil ecf is further divided by wall of cells that separates fluid that circulates and that which directly surrounds the cells plasmafluid portion of the blood interstitial fluid fluid that surrounds the cells",imageBased,NULL,"the three fluid compartments of the body body can be divided into two nim 44mm mm that is found inside the cells ecf extracellular fluid fluid that is found outside the cells compartments are separated by barrier plasma membrane qqii iia1 wi lcq ii lmactllular4 iu11t2 primary compartments cells fluid icf intracellular fluid fluid pci gil ecf is further divided by wall of cells that separates fluid that circulates and that which directly surrounds the cells plasmafluid portion of the blood interstitial fluid fluid that surrounds the cells"
288247,6,i," Index 6",941,NULL,5,i_0474.jpg,4557,218,"homeostasis onm equilibrium homeostasis refers to the stability of the bodys internal environment eg the ecf icf while these compartments are relatively stable in terms of composition they differ from one another in terms of concentrations of solutes as result there are concentration gradients between the two corn pa rtm nts our bodies are in state of osmotic equilibrium total amount of solute per volume of fluid on either side of the cell membrane but are in state of chemical disequilibrium certain solutes are more concentrated in one of the two compartments our bodies are electrically neutral but as result of ionic imbalances are in state of electrical disequilibrium rtnnwrr il nraceuar plasma interstitial ifuld ic large anions and proteins ip pic plc pic na k4 c1 intracellular tlwd plc hc03",imageBased,NULL,"homeostasis onm equilibrium homeostasis refers to the stability of the bodys internal environment eg the ecf icf while these compartments are relatively stable in terms of composition they differ from one another in terms of concentrations of solutes as result there are concentration gradients between the two corn pa rtm nts our bodies are in state of osmotic equilibrium total amount of solute per volume of fluid on either side of the cell membrane but are in state of chemical disequilibrium certain solutes are more concentrated in one of the two compartments our bodies are electrically neutral but as result of ionic imbalances are in state of electrical disequilibrium rtnnwrr il nraceuar plasma interstitial ifuld ic large anions and proteins ip pic plc pic na k4 c1 intracellular tlwd plc hc03"
288248,7,t," Index 7",1159,NULL,5,i_0583.jpg,4557,78,"homeostasis il equilibrium pic plc na k4 ct this osmotic equilibrium and chemical electrical disequilibrium are dynamic steady states dynamic meaning that the substances are constantly moving back and forth between the two compartments steady state meaning that there is no net change or net movement between the two compartments this is accomplished by transport mechanisms and selective permeability of the membrane ptesma interstiflal fluid lntteceliular fluid large anions and proteins",imageBased,NULL,"homeostasis il equilibrium pic plc na k4 ct this osmotic equilibrium and chemical electrical disequilibrium are dynamic steady states dynamic meaning that the substances are constantly moving back and forth between the two compartments steady state meaning that there is no net change or net movement between the two compartments this is accomplished by transport mechanisms and selective permeability of the membrane ptesma interstiflal fluid lntteceliular fluid large anions and proteins"
288249,8,i," Index 8",1237,NULL,6,i_0622.jpg,4557,228,"physical isolation acts as physical barrier between the contents of the cell and the surrounding environment regulation of exchange of materials controls the removal of waste the entry of nutrients and ions the release of cellular products communication between the cell its environment proteins found within the membrane enable the cell to monitor changes in the environment and respond to molecular signals structural support proteins serve as cytoskeleton maintaining cell shape creating specialized junctions between cells and the extraceltular matrix thus stabilizing cells within tissues the plasma membrane aka the cell membrane or plasmalemma er functionally responsible for celia cell 43000x 216000x",imageBased,NULL,"physical isolation acts as physical barrier between the contents of the cell and the surrounding environment regulation of exchange of materials controls the removal of waste the entry of nutrients and ions the release of cellular products communication between the cell its environment proteins found within the membrane enable the cell to monitor changes in the environment and respond to molecular signals structural support proteins serve as cytoskeleton maintaining cell shape creating specialized junctions between cells and the extraceltular matrix thus stabilizing cells within tissues the plasma membrane aka the cell membrane or plasmalemma er functionally responsible for celia cell 43000x 216000x"
288250,9,t," Index 9",1465,NULL,6,i_0736.jpg,4557,172,"the fluid mosaic model membtane spiha into layers in freezetracture electron microscopy cholesterol molecules insert themselves into the lipid layer lipid tails form the interior layer the membrane phosphoftpld heads face the aqueous inlracellular and exhacellular compartments membranes consist mostly of lipids and proteins ratio is dependent on the source but correlates to metabolic activity metabolic activity proteins the lipid portion consists mostly of phospholipids arranged in bilayer hydrophilic heads face the aqueous side hydrophobic tails are hidden in the center of the membrane proteins can be found embedded in or attached to either surface of the membrane carbohydrate group of gtycoprotn extracellular carbohydrate group surface of of glycolipid membrane proteins intracellular surface of membrane",imageBased,NULL,"the fluid mosaic model membtane spiha into layers in freezetracture electron microscopy cholesterol molecules insert themselves into the lipid layer lipid tails form the interior layer the membrane phosphoftpld heads face the aqueous inlracellular and exhacellular compartments membranes consist mostly of lipids and proteins ratio is dependent on the source but correlates to metabolic activity metabolic activity proteins the lipid portion consists mostly of phospholipids arranged in bilayer hydrophilic heads face the aqueous side hydrophobic tails are hidden in the center of the membrane proteins can be found embedded in or attached to either surface of the membrane carbohydrate group of gtycoprotn extracellular carbohydrate group surface of of glycolipid membrane proteins intracellular surface of membrane"
288251,10,i," Index 10",1637,NULL,7,i_0822.jpg,4557,2,"types of lipids found in the plasma me mbrane phospholipids in an aqueous environment polar hydrophilic head gmups urlent towani he polar waler and nonpolar lhydmphobc talk orient ftnrn the waler ethanotamine phosphate this icon is used in this text to represent this and other phospholipid phospholipid bilayer gycerol fatty acid thus bilayer is ionned structure polar phosphateglycerol head hydrophilic nonpolar fatty acid tail hydrophobic typically arrange themselves to exclude water from hydrophobic regions",imageBased,NULL,"types of lipids found in the plasma me mbrane phospholipids in an aqueous environment polar hydrophilic head gmups urlent towani he polar waler and nonpolar lhydmphobc talk orient ftnrn the waler ethanotamine phosphate this icon is used in this text to represent this and other phospholipid phospholipid bilayer gycerol fatty acid thus bilayer is ionned structure polar phosphateglycerol head hydrophilic nonpolar fatty acid tail hydrophobic typically arrange themselves to exclude water from hydrophobic regions"
